Año,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2024,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.816,1888.88,15.997,2085.92,1.161,57
2024,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2088.57,5.039,2086,4.1,1828.03,15.123,93
2024,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,1998.22,37.687,11
2024,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1822.48,0.443,8
2024,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1609.32,2.479,17
2024,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,2077.9,2.198,54
2024,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1939.72,9.15,83
2024,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,1881.77,4.304,27
2023,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.816,1888.88,15.997,1883.44,6.12,38
2023,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2088.57,5.039,2086,4.1,2078.5,2.324,57
2023,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.62,1.244,61
2023,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.49,16.448,102
2023,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1941.41,10.228,93
2023,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1816,0,0
2023,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1609.35,2.499,17
2023,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2002.15,70.697,20
2022,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.816,1888.88,15.997,1885.68,9.51,59
2022,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2088.57,5.039,2086,4.1,2080.9,2.847,69
2022,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.44,1.223,60
2022,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.45,16.333,101
